Date,DISC_FACT,ZERO_YLD1,START_DT,MATUR_DATE,RIC
2024-09-03,0.995919212,5.11528,20240904,20241004,USGOV1MZ=R
2024-09-04,0.995675757,5.08147,20240905,20241007,USGOV1MZ=R
2024-09-05,0.995820398,5.069272,20240906,20241007,USGOV1MZ=R
2024-09-06,0.995967101,5.053636,20240909,20241009,USGOV1MZ=R
2024-09-09,0.995964415,5.057092,20240910,20241010,USGOV1MZ=R
2024-09-10,0.995998017,5.01386,20240911,20241011,USGOV1MZ=R
2024-09-11,0.995593986,5.019375,20240912,20241015,USGOV1MZ=R
2024-09-12,0.995725236,5.021764,20240913,20241015,USGOV1MZ=R
2024-09-13,0.996051332,4.945303,20240916,20241016,USGOV1MZ=R
2024-09-16,0.996079157,4.909544,20240917,20241017,USGOV1MZ=R
2024-09-17,0.996095732,4.888248,20240918,20241018,USGOV1MZ=R
2024-09-18,0.996012494,4.675853,20240919,20241021,USGOV1MZ=R
2024-09-19,0.996191148,4.608528,20240920,20241021,USGOV1MZ=R
2024-09-20,0.996195647,4.759977,20240923,20241023,USGOV1MZ=R
2024-09-23,0.996226206,4.720779,20240924,20241024,USGOV1MZ=R
2024-09-24,0.996337996,4.577522,20240925,20241025,USGOV1MZ=R
2024-09-25,0.995973866,4.722296,20240926,20241028,USGOV1MZ=R
2024-09-26,0.99619716,4.601074,20240927,20241028,USGOV1MZ=R
2024-09-27,0.99621639,4.577238,20240930,20241031,USGOV1MZ=R
2024-09-30,0.996252647,4.532312,20241001,20241101,USGOV1MZ=R
2024-10-01,0.99599809,4.547766,20241002,20241104,USGOV1MZ=R
2024-10-02,0.995909274,4.800005,20241003,20241104,USGOV1MZ=R
2024-10-03,0.996074796,4.752886,20241004,20241104,USGOV1MZ=R
2024-10-04,0.996088889,4.735389,20241007,20241107,USGOV1MZ=R
2024-10-07,0.996046077,4.788551,20241008,20241108,USGOV1MZ=R
2024-10-08,0.995679464,4.771338,20241009,20241112,USGOV1MZ=R
2024-10-09,0.995807735,4.769631,20241010,20241112,USGOV1MZ=R
2024-10-10,0.995900181,4.81095,20241011,20241112,USGOV1MZ=R
2024-10-11,0.99605553,4.77681,20241015,20241115,USGOV1MZ=R
2024-10-15,0.99581531,4.760792,20241016,20241118,USGOV1MZ=R
2024-09-03,0.995919212,5.11528,20240904,20241004,USGOV1MZ=R
2024-09-04,0.995675757,5.08147,20240905,20241007,USGOV1MZ=R
2024-09-05,0.995820398,5.069272,20240906,20241007,USGOV1MZ=R
2024-09-06,0.995967101,5.053636,20240909,20241009,USGOV1MZ=R
2024-09-09,0.995964415,5.057092,20240910,20241010,USGOV1MZ=R
2024-09-10,0.995998017,5.01386,20240911,20241011,USGOV1MZ=R
2024-09-11,0.995593986,5.019375,20240912,20241015,USGOV1MZ=R
2024-09-12,0.995725236,5.021764,20240913,20241015,USGOV1MZ=R
2024-09-13,0.996051332,4.945303,20240916,20241016,USGOV1MZ=R
2024-09-16,0.996079157,4.909544,20240917,20241017,USGOV1MZ=R
2024-09-17,0.996095732,4.888248,20240918,20241018,USGOV1MZ=R
2024-09-18,0.996012494,4.675853,20240919,20241021,USGOV1MZ=R
2024-09-19,0.996191148,4.608528,20240920,20241021,USGOV1MZ=R
2024-09-20,0.996195647,4.759977,20240923,20241023,USGOV1MZ=R
2024-09-23,0.996226206,4.720779,20240924,20241024,USGOV1MZ=R
2024-09-24,0.996337996,4.577522,20240925,20241025,USGOV1MZ=R
2024-09-25,0.995973866,4.722296,20240926,20241028,USGOV1MZ=R
2024-09-26,0.99619716,4.601074,20240927,20241028,USGOV1MZ=R
2024-09-27,0.99621639,4.577238,20240930,20241031,USGOV1MZ=R
2024-09-30,0.996252647,4.532312,20241001,20241101,USGOV1MZ=R
2024-10-01,0.99599809,4.547766,20241002,20241104,USGOV1MZ=R
2024-10-02,0.995909274,4.800005,20241003,20241104,USGOV1MZ=R
2024-10-03,0.996074796,4.752886,20241004,20241104,USGOV1MZ=R
2024-10-04,0.996088889,4.735389,20241007,20241107,USGOV1MZ=R
2024-10-07,0.996046077,4.788551,20241008,20241108,USGOV1MZ=R
2024-10-08,0.995679464,4.771338,20241009,20241112,USGOV1MZ=R
2024-10-09,0.995807735,4.769631,20241010,20241112,USGOV1MZ=R
2024-10-10,0.995900181,4.81095,20241011,20241112,USGOV1MZ=R
2024-10-11,0.99605553,4.77681,20241015,20241115,USGOV1MZ=R
2024-10-15,0.99581531,4.760792,20241016,20241118,USGOV1MZ=R
2024-09-03,0.995919212,5.11528,20240904,20241004,USGOV1MZ=R
2024-09-04,0.995675757,5.08147,20240905,20241007,USGOV1MZ=R
2024-09-05,0.995820398,5.069272,20240906,20241007,USGOV1MZ=R
2024-09-06,0.995967101,5.053636,20240909,20241009,USGOV1MZ=R
